gait,speed,period,step_width,command_df,trials,energy_valid_rate,energy_condition_valid,positive_mechanical_cot_median,positive_mechanical_cot_median_all,periodic_rate,compliance_rate
walk,0.25,0.4,0.5,0.8,32,0.0,0,,0.5693808953304076,1.0,0.0
walk,0.25,0.4,0.5,0.85,32,1.0,1,0.624721857997433,0.624721857997433,1.0,1.0
walk,0.25,0.4,0.5,0.9,32,0.0,0,,0.6169373452065056,1.0,0.0
walk,0.25,0.48,0.1,0.75,32,0.0,0,,0.40650887972379024,1.0,0.0
walk,0.25,0.48,0.1,0.8,32,1.0,1,0.44690587477453925,0.44690587477453925,1.0,1.0
walk,0.25,0.48,0.1,0.85,32,1.0,1,0.4694738559026698,0.4694738559026698,1.0,1.0
walk,0.25,0.48,0.1,0.9,32,0.0,0,,0.4524130512250496,1.0,0.0
walk,0.25,0.48,0.2,0.75,32,0.0,0,,0.4213140990261167,1.0,0.0
walk,0.25,0.48,0.2,0.8,32,1.0,1,0.4709335640489308,0.4709335640489308,1.0,1.0
walk,0.25,0.48,0.2,0.85,32,1.0,1,0.4969962281396246,0.4969962281396246,1.0,1.0
walk,0.25,0.48,0.2,0.9,32,0.0,0,,0.4628562737594379,1.0,0.0
walk,0.25,0.48,0.3,0.75,32,0.0,0,,0.4477297484000351,1.0,0.0
walk,0.25,0.48,0.3,0.8,32,1.0,1,0.49464049515680364,0.49464049515680364,1.0,1.0
walk,0.25,0.48,0.3,0.85,32,1.0,1,0.5203713352795648,0.5203713352795648,1.0,1.0
walk,0.25,0.48,0.3,0.9,32,0.0,0,,0.4952084535446216,1.0,0.0
walk,0.25,0.48,0.4,0.75,32,0.0,0,,0.501795426508004,1.0,0.0
walk,0.25,0.48,0.4,0.8,32,1.0,1,0.5201501222824505,0.5201501222824505,1.0,1.0
walk,0.25,0.48,0.4,0.85,32,1.0,1,0.5479207052182801,0.5479207052182801,1.0,1.0
walk,0.25,0.48,0.4,0.9,32,0.0,0,,0.536076483140428,1.0,0.0
walk,0.25,0.48,0.5,0.75,32,0.0,0,,0.5156666007446444,1.0,0.0
walk,0.25,0.48,0.5,0.8,32,1.0,1,0.5368571139521066,0.5368571139521066,1.0,1.0
walk,0.25,0.48,0.5,0.85,32,1.0,1,0.5838779747598017,0.5838779747598017,1.0,1.0
walk,0.25,0.48,0.5,0.9,32,0.0,0,,0.5558771324769098,1.0,0.0
walk,0.25,0.54,0.1,0.75,32,0.0,0,,0.39395752873585344,1.0,0.0
walk,0.25,0.54,0.1,0.8,32,0.0,0,,0.44528320200988974,1.0,0.0
walk,0.25,0.54,0.1,0.85,32,1.0,1,0.4580960346436761,0.4580960346436761,1.0,1.0
walk,0.25,0.54,0.1,0.9,32,0.0,0,,0.4805485991021708,1.0,0.0
walk,0.25,0.54,0.2,0.75,32,0.0,0,,0.4010452006798318,1.0,0.0
walk,0.25,0.54,0.2,0.8,32,0.0,0,,0.46287753697261624,1.0,0.0
walk,0.25,0.54,0.2,0.85,32,1.0,1,0.4744324925905554,0.4744324925905554,1.0,1.0
walk,0.25,0.54,0.2,0.9,32,1.0,1,0.4972402410856632,0.4972402410856632,1.0,1.0
